pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('so_rate_f', 'vol-thalamus')",dx_elix_depre_no_mci_dementia,0.2276531778077882,0.00020225561829331507,0.06132334682154979,0.3246377570855208,262,57.8 (11.9),0.66
"('so_rate_f', 'vol-thalamus')",dx_cci_canc_no_mci_dementia,0.24023718700713956,0.006517761329738521,0.04208045122009552,0.6412486361087206,127,64.5 (10.4),0.46
"('so_rate_f', 'vol-thalamus')",dx_cci_diab_no_mci_dementia,0.19700935170091988,0.031027163434850735,0.06928202030193142,0.4559814427156802,120,60.6 (10.4),0.53
"('so_rate_f', 'vol-thalamus')",dx_cci_chf_no_mci_dementia,0.154439826076322,0.1769936111810339,0.014765192614004505,0.8992621182165965,78,65.4 (11.1),0.5
"('so_rate_f', 'vol-thalamus')",dx_cci_pvd_no_mci_dementia,0.15665446966305205,0.14733633565518112,-0.10561447949579288,0.3360525801459382,87,64.7 (10.9),0.47
"('so_rate_f', 'vol-thalamus')",dx_cci_cevd_no_mci_dementia,0.24295203387484418,0.004372461684592574,-0.08129812733412912,0.3503946853425731,136,63.1 (10.8),0.52
"('so_rate_f', 'vol-thalamus')",dx_strata_cci<2,0.20446888714130212,0.0014485667554535158,0.024252109180891344,0.709722897305638,240,56.9 (11.9),0.55
"('so_rate_f', 'vol-thalamus')",dx_strata_cci2-4,0.22215614505083042,0.0015261378159988886,-0.05297133392019063,0.45744106072326995,201,61.6 (12.6),0.59
"('so_rate_f', 'vol-thalamus')",dx_strata_cci>=5,0.3002544286749576,0.00613041606807236,0.1858734824928359,0.09878819360889061,82,65.4 (10.5),0.48
"('so_rate_f', 'vol-thalamus')",dx_no_disease,0.17792790548365262,0.04203094050666013,-0.13952817249714738,0.11478746249175646,131,56.6 (12.9),0.49
"('so_rate_f', 'vol-thalamus')",dx_no_disease_cci<2,0.17484581261185966,0.1073637571156602,-0.09603369627110508,0.38485482074378075,86,55.1 (12.1),0.5
"('so_rate_f', 'vol-thalamus')",zzz_blank,,,,,,,
"('ss_dens_f', 'vol-thalamus')",dx_dementia,0.3609820125141865,0.030542870732140164,0.24770770280070306,0.15781169156831917,36,73.3 (11.2),0.58
"('ss_dens_f', 'vol-thalamus')",dx_mci,0.3464951859192915,0.003075569488160525,0.10680908309655524,0.3823814519568245,71,68.0 (9.7),0.48
"('ss_dens_f', 'vol-thalamus')",dx_elix_depre_no_mci_dementia,0.13575652227452542,0.028014336698207007,-0.029039121957531545,0.6411554284214989,262,57.8 (11.9),0.66
"('ss_dens_f', 'vol-thalamus')",dx_cci_canc_no_mci_dementia,0.1993693393803947,0.024628952634836422,-0.013667349032142798,0.8797567909545702,127,64.5 (10.4),0.46
"('ss_dens_f', 'vol-thalamus')",dx_cci_diab_no_mci_dementia,0.19993762252209707,0.028564938020425944,0.0665411701743435,0.4740397945064315,120,60.6 (10.4),0.53
"('ss_dens_f', 'vol-thalamus')",dx_cci_chf_no_mci_dementia,0.17757234327126,0.11986388225308497,-0.01982416018497903,0.865029438636634,78,65.4 (11.1),0.5
"('ss_dens_f', 'vol-thalamus')",dx_cci_pvd_no_mci_dementia,0.32836990434457114,0.001902052258011733,0.17233883165602462,0.11475286564456647,87,64.7 (10.9),0.47
"('ss_dens_f', 'vol-thalamus')",dx_cci_cevd_no_mci_dementia,0.1939177367065522,0.023691626935031386,0.017254204284505206,0.8431425788045195,136,63.1 (10.8),0.52
"('ss_dens_f', 'vol-thalamus')",dx_strata_cci<2,0.1418464376141858,0.028011587159219923,0.013316085261557573,0.8380737012721721,240,56.9 (11.9),0.55
"('ss_dens_f', 'vol-thalamus')",dx_strata_cci2-4,0.18534267616480737,0.008434567195277238,0.018532897618466843,0.795007218770276,201,61.6 (12.6),0.59
"('ss_dens_f', 'vol-thalamus')",dx_strata_cci>=5,0.23268945180232936,0.03540342578740771,0.04834523969981041,0.6702123473795359,82,65.4 (10.5),0.48
"('ss_dens_f', 'vol-thalamus')",dx_no_disease,0.12912932379311926,0.14157547128797549,0.007499782987681279,0.9327755840362582,131,56.6 (12.9),0.49
"('ss_dens_f', 'vol-thalamus')",dx_no_disease_cci<2,0.07365949534400837,0.5003044180343249,0.010651705713907673,0.9233899947089914,86,55.1 (12.1),0.5
"('ss_dens_f', 'vol-thalamus')",zzz_blank,,,,,,,
"('ss_dens_f', 'vol-hippocampus')",dx_dementia,0.32025351896677967,0.05688407607909694,0.1990854775601266,0.2589899684179105,36,73.3 (11.2),0.58
"('ss_dens_f', 'vol-hippocampus')",dx_mci,0.14451931622013284,0.22918883670368873,-0.04926535624189502,0.6876863097393049,71,68.0 (9.7),0.48
"('ss_dens_f', 'vol-hippocampus')",dx_elix_depre_no_mci_dementia,0.017607654632778545,0.7766678613098765,-0.05421151499550073,0.38399286576479186,262,57.8 (11.9),0.66
"('ss_dens_f', 'vol-hippocampus')",dx_cci_canc_no_mci_dementia,-0.05326972797047051,0.551972944102664,-0.13870370786639402,0.122917691866249,127,64.5 (10.4),0.46
"('ss_dens_f', 'vol-hippocampus')",dx_cci_diab_no_mci_dementia,-0.019533551372323144,0.8322944118611204,-0.03906323685272815,0.6745010915156766,120,60.6 (10.4),0.53
"('ss_dens_f', 'vol-hippocampus')",dx_cci_chf_no_mci_dementia,-0.16409044047056384,0.15112739985512388,-0.16190527525709886,0.16232244600250448,78,65.4 (11.1),0.5
"('ss_dens_f', 'vol-hippocampus')",dx_cci_pvd_no_mci_dementia,-0.026117769519910156,0.8102312026075764,-0.13786134093075858,0.20831321638965092,87,64.7 (10.9),0.47
"('ss_dens_f', 'vol-hippocampus')",dx_cci_cevd_no_mci_dementia,0.09229486854931246,0.28521302558439665,0.024120820631061517,0.7820542119063363,136,63.1 (10.8),0.52
"('ss_dens_f', 'vol-hippocampus')",dx_strata_cci<2,0.08488643218879932,0.19000784373264032,0.00878287043698073,0.8927820531453986,240,56.9 (11.9),0.55
"('ss_dens_f', 'vol-hippocampus')",dx_strata_cci2-4,-0.051173213444507336,0.4706304984418565,-0.1337144706618489,0.05971989644149433,201,61.6 (12.6),0.59
"('ss_dens_f', 'vol-hippocampus')",dx_strata_cci>=5,-0.02937475631016922,0.7933425303201457,-0.09096280645802267,0.4222887623655561,82,65.4 (10.5),0.48
"('ss_dens_f', 'vol-hippocampus')",dx_no_disease,0.06701725451504884,0.4469249112789079,0.03597729514362606,0.6856412015718727,131,56.6 (12.9),0.49
"('ss_dens_f', 'vol-hippocampus')",dx_no_disease_cci<2,0.047491560228341015,0.6641293426976423,0.03306547097312644,0.765252252902829,86,55.1 (12.1),0.5
"('ss_dens_f', 'vol-hippocampus')",zzz_blank,,,,,,,
"('fs_dens_c', 'vol-thalamus')",dx_dementia,0.23838156956627737,0.16148623434961168,0.18707266787327745,0.2894182357918381,36,73.3 (11.2),0.58
"('fs_dens_c', 'vol-thalamus')",dx_mci,0.3554513822024334,0.0023506685735480174,0.09158873682986637,0.4541769775655281,71,68.0 (9.7),0.48
"('fs_dens_c', 'vol-thalamus')",dx_elix_depre_no_mci_dementia,0.31919786350370216,1.2865600543347944e-07,0.1172719989521866,0.05897713660066717,262,57.8 (11.9),0.66
"('fs_dens_c', 'vol-thalamus')",dx_cci_canc_no_mci_dementia,0.25972314466433216,0.0031904267761850994,0.19176379504551133,0.03216374575475156,127,64.5 (10.4),0.46
"('fs_dens_c', 'vol-thalamus')",dx_cci_diab_no_mci_dementia,0.2759491585843556,0.0022831281025534333,0.18034370931795324,0.050673501331515415,120,60.6 (10.4),0.53
"('fs_dens_c', 'vol-thalamus')",dx_cci_chf_no_mci_dementia,0.1629950527190703,0.15391258004988362,0.01266599513310768,0.9135245954985178,78,65.4 (11.1),0.5
"('fs_dens_c', 'vol-thalamus')",dx_cci_pvd_no_mci_dementia,0.2752767816771662,0.009864721868980937,0.17065469189042975,0.1183960813261261,87,64.7 (10.9),0.47
"('fs_dens_c', 'vol-thalamus')",dx_cci_cevd_no_mci_dementia,0.30144933868560303,0.00036198130274211923,0.0910552957448641,0.2954032869412352,136,63.1 (10.8),0.52
"('fs_dens_c', 'vol-thalamus')",dx_strata_cci<2,0.328102554392599,1.9811219882442098e-07,0.14937110106053614,0.021155352553324392,240,56.9 (11.9),0.55
"('fs_dens_c', 'vol-thalamus')",dx_strata_cci2-4,0.2901298947722272,2.9425824374496432e-05,0.07884061729090647,0.26833658516223297,201,61.6 (12.6),0.59
"('fs_dens_c', 'vol-thalamus')",dx_strata_cci>=5,0.18394212414752686,0.09807808000418163,0.061284939668720985,0.5891762486132208,82,65.4 (10.5),0.48
"('fs_dens_c', 'vol-thalamus')",dx_no_disease,0.179490124241568,0.04023192178600468,0.057344098230493655,0.5186059208881636,131,56.6 (12.9),0.49
"('fs_dens_c', 'vol-thalamus')",dx_no_disease_cci<2,0.19105748363790065,0.07804585475097107,0.08237208059842137,0.4563275209094819,86,55.1 (12.1),0.5
"('fs_dens_c', 'vol-thalamus')",zzz_blank,,,,,,,
"('fs_dens_c', 'vol-hippocampus')",dx_dementia,0.2504342000231504,0.14070591415859252,0.20824048402179948,0.2372720343692286,36,73.3 (11.2),0.58
"('fs_dens_c', 'vol-hippocampus')",dx_mci,0.3354350547826897,0.004241665086378742,0.16453808627485,0.1766905676014921,71,68.0 (9.7),0.48
"('fs_dens_c', 'vol-hippocampus')",dx_elix_depre_no_mci_dementia,0.11809714754594777,0.05624723803359561,0.025054913231957018,0.687599494729338,262,57.8 (11.9),0.66
"('fs_dens_c', 'vol-hippocampus')",dx_cci_canc_no_mci_dementia,0.010402940147312068,0.9075897990705565,-0.041712331104124825,0.644171700081708,127,64.5 (10.4),0.46
"('fs_dens_c', 'vol-hippocampus')",dx_cci_diab_no_mci_dementia,0.16800656792329036,0.06662182869228817,0.17365710275039842,0.06002182537475023,120,60.6 (10.4),0.53
"('fs_dens_c', 'vol-hippocampus')",dx_cci_chf_no_mci_dementia,0.024330888262172216,0.8325388515476739,0.029189571656801035,0.8023516967532306,78,65.4 (11.1),0.5
"('fs_dens_c', 'vol-hippocampus')",dx_cci_pvd_no_mci_dementia,0.003889363991238702,0.9714793162272972,-0.07429329722258608,0.4992035326832873,87,64.7 (10.9),0.47
"('fs_dens_c', 'vol-hippocampus')",dx_cci_cevd_no_mci_dementia,0.22011690802653422,0.010025445690431714,0.14369047663615825,0.097648647089337,136,63.1 (10.8),0.52
"('fs_dens_c', 'vol-hippocampus')",dx_strata_cci<2,0.16003467508515606,0.013052909597226287,0.045787962606488056,0.4820357270487181,240,56.9 (11.9),0.55
"('fs_dens_c', 'vol-hippocampus')",dx_strata_cci2-4,0.0514963276460266,0.4678296025926235,-0.06221393647785966,0.3826888056770974,201,61.6 (12.6),0.59
"('fs_dens_c', 'vol-hippocampus')",dx_strata_cci>=5,0.09867988783786934,0.3777651562832453,0.0676531252985043,0.5509960648372847,82,65.4 (10.5),0.48
"('fs_dens_c', 'vol-hippocampus')",dx_no_disease,0.07227179480696494,0.41202567971773424,0.028174769566636105,0.7512799643878567,131,56.6 (12.9),0.49
"('fs_dens_c', 'vol-hippocampus')",dx_no_disease_cci<2,-0.014179011887501258,0.8969041633878782,-0.04410273719295452,0.6903754658509487,86,55.1 (12.1),0.5
"('fs_dens_c', 'vol-hippocampus')",zzz_blank,,,,,,,
"('perc_r', 'vol-ctx--isthmuscingulate')",dx_dementia,0.04029377656033134,0.8155089999912897,0.023838772302747335,0.8935431198670754,36,73.3 (11.2),0.58
"('perc_r', 'vol-ctx--isthmuscingulate')",dx_mci,-0.027824896734570045,0.8178278038668227,-0.03426724524620544,0.779840369512099,71,68.0 (9.7),0.48
"('perc_r', 'vol-ctx--isthmuscingulate')",dx_elix_depre_no_mci_dementia,0.11560482774422351,0.06168546214606362,0.10928219717490444,0.07859389835256948,262,57.8 (11.9),0.66
"('perc_r', 'vol-ctx--isthmuscingulate')",dx_cci_canc_no_mci_dementia,-0.055257813748959876,0.5372093048340117,-0.05225845746976635,0.5627286588573974,127,64.5 (10.4),0.46
"('perc_r', 'vol-ctx--isthmuscingulate')",dx_cci_diab_no_mci_dementia,0.08592920966104715,0.35072589518268354,0.06838005184224635,0.46188160445936544,120,60.6 (10.4),0.53
"('perc_r', 'vol-ctx--isthmuscingulate')",dx_cci_chf_no_mci_dementia,0.03025120381338671,0.792613742189717,0.028539099187218857,0.8066697277989096,78,65.4 (11.1),0.5
"('perc_r', 'vol-ctx--isthmuscingulate')",dx_cci_pvd_no_mci_dementia,0.09986327651642198,0.3574194260586002,0.07971855551976292,0.46830362213448884,87,64.7 (10.9),0.47
"('perc_r', 'vol-ctx--isthmuscingulate')",dx_cci_cevd_no_mci_dementia,0.040722129042284894,0.6378482366218462,0.05832840688768922,0.5032118435991078,136,63.1 (10.8),0.52
"('perc_r', 'vol-ctx--isthmuscingulate')",dx_strata_cci<2,-0.03521542670953135,0.5872157297406752,-0.03594839755657504,0.5810555957286996,240,56.9 (11.9),0.55
"('perc_r', 'vol-ctx--isthmuscingulate')",dx_strata_cci2-4,-0.013658739174566774,0.8473918448700138,-0.011200869528076796,0.875231258903986,201,61.6 (12.6),0.59
"('perc_r', 'vol-ctx--isthmuscingulate')",dx_strata_cci>=5,0.15322331378611728,0.16934053062387489,0.14995084998351824,0.18430603646850421,82,65.4 (10.5),0.48
"('perc_r', 'vol-ctx--isthmuscingulate')",dx_no_disease,-0.016661076716583505,0.8501867123774208,-0.02140825594788298,0.8097008605644159,131,56.6 (12.9),0.49
"('perc_r', 'vol-ctx--isthmuscingulate')",dx_no_disease_cci<2,-0.046960824777884026,0.6676604219944119,-0.019665223613075274,0.8590753863609422,86,55.1 (12.1),0.5
"('perc_r', 'vol-ctx--isthmuscingulate')",zzz_blank,,,,,,,
"('perc_r', 'vol-amygdala')",dx_dementia,0.012586559453059067,0.9419199696613063,-0.013314470831696472,0.9404253149420357,36,73.3 (11.2),0.58
"('perc_r', 'vol-amygdala')",dx_mci,-0.005725399321784862,0.9622046854950906,-0.010544810301423945,0.9314712390070117,71,68.0 (9.7),0.48
"('perc_r', 'vol-amygdala')",dx_elix_depre_no_mci_dementia,0.013777466893697514,0.8243512437885006,-0.0027586224926642667,0.9646914107296161,262,57.8 (11.9),0.66
"('perc_r', 'vol-amygdala')",dx_cci_canc_no_mci_dementia,-0.06040344775573801,0.49993109129246704,-0.1245790302561755,0.1662843798953457,127,64.5 (10.4),0.46
"('perc_r', 'vol-amygdala')",dx_cci_diab_no_mci_dementia,-0.041801925606971824,0.6503166034797878,-0.04767342721146781,0.6081997942654339,120,60.6 (10.4),0.53
"('perc_r', 'vol-amygdala')",dx_cci_chf_no_mci_dementia,-0.10162983171413002,0.37595473562524273,-0.10537835762519206,0.3649528808943565,78,65.4 (11.1),0.5
"('perc_r', 'vol-amygdala')",dx_cci_pvd_no_mci_dementia,-0.01112331493423556,0.9185551542066466,-0.04612527784660372,0.6750839969966165,87,64.7 (10.9),0.47
"('perc_r', 'vol-amygdala')",dx_cci_cevd_no_mci_dementia,-0.014030525814285474,0.8712110933375853,-0.06937533289414724,0.4257332846211437,136,63.1 (10.8),0.52
"('perc_r', 'vol-amygdala')",dx_strata_cci<2,0.058982514844754114,0.3629412063526886,0.03952047719937028,0.5440371532440182,240,56.9 (11.9),0.55
"('perc_r', 'vol-amygdala')",dx_strata_cci2-4,-0.13555341916295333,0.055024747189347564,-0.15552124283628416,0.028275701373409363,201,61.6 (12.6),0.59
"('perc_r', 'vol-amygdala')",dx_strata_cci>=5,0.055135547456870354,0.6227311414214837,0.046719030730722144,0.6806942674525456,82,65.4 (10.5),0.48
"('perc_r', 'vol-amygdala')",dx_no_disease,0.15174597533530013,0.08359443937714328,0.11397173196796304,0.1984202339405416,131,56.6 (12.9),0.49
"('perc_r', 'vol-amygdala')",dx_no_disease_cci<2,0.09959087798509955,0.3615981627520281,0.06073685940452785,0.583123047405762,86,55.1 (12.1),0.5
"('perc_r', 'vol-amygdala')",zzz_blank,,,,,,,
"('perc_r', 'vol-brain-stem')",dx_dementia,-0.035616886358659304,0.8366153966532359,-0.04188966494852489,0.8140352855266451,36,73.3 (11.2),0.58
"('perc_r', 'vol-brain-stem')",dx_mci,0.06894639997547478,0.5677818487391402,0.06783418939768662,0.579703653143673,71,68.0 (9.7),0.48
"('perc_r', 'vol-brain-stem')",dx_elix_depre_no_mci_dementia,-0.049227570204988004,0.42749293654663323,-0.02677177737867953,0.6674291840463897,262,57.8 (11.9),0.66
"('perc_r', 'vol-brain-stem')",dx_cci_canc_no_mci_dementia,-0.10160061050376971,0.2557039326731888,-0.11813884241881531,0.18946510193012056,127,64.5 (10.4),0.46
"('perc_r', 'vol-brain-stem')",dx_cci_diab_no_mci_dementia,-0.1767662726108563,0.05344016636945079,-0.15306657866530982,0.09796604268680553,120,60.6 (10.4),0.53
"('perc_r', 'vol-brain-stem')",dx_cci_chf_no_mci_dementia,0.04685916305436491,0.683720684642545,0.05128369333324648,0.6599653573875067,78,65.4 (11.1),0.5
"('perc_r', 'vol-brain-stem')",dx_cci_pvd_no_mci_dementia,-0.002469136953839147,0.9818915711712735,0.006711887222599791,0.9513870908989667,87,64.7 (10.9),0.47
"('perc_r', 'vol-brain-stem')",dx_cci_cevd_no_mci_dementia,-0.013230339798299573,0.8784980442630156,-0.026798443303600233,0.7585668333330894,136,63.1 (10.8),0.52
"('perc_r', 'vol-brain-stem')",dx_strata_cci<2,0.05105144223348379,0.43112385012997234,0.05105375979449194,0.4330496256377693,240,56.9 (11.9),0.55
"('perc_r', 'vol-brain-stem')",dx_strata_cci2-4,-0.10868316850008437,0.12458922180386564,-0.10236451624556085,0.15023145774204133,201,61.6 (12.6),0.59
"('perc_r', 'vol-brain-stem')",dx_strata_cci>=5,0.015593845177527037,0.8894115201158793,0.01979714508577575,0.8616287043619457,82,65.4 (10.5),0.48
"('perc_r', 'vol-brain-stem')",dx_no_disease,0.18057372541433186,0.03902235146703616,0.222376932553186,0.011311298980698329,131,56.6 (12.9),0.49
"('perc_r', 'vol-brain-stem')",dx_no_disease_cci<2,0.191158177839318,0.07788615588397016,0.21980784195859723,0.04453409503661969,86,55.1 (12.1),0.5
"('perc_r', 'vol-brain-stem')",zzz_blank,,,,,,,
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",dx_dementia,-0.10490286662411621,0.5425988365136862,-0.1357294277224397,0.4440446885802618,36,73.3 (11.2),0.58
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",dx_mci,0.26844563405885535,0.023602777128735687,0.2292915038642637,0.05806904548818163,71,68.0 (9.7),0.48
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",dx_elix_depre_no_mci_dementia,0.015032366645849657,0.8086481602411869,0.04777127073855434,0.44307254035729005,262,57.8 (11.9),0.66
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",dx_cci_canc_no_mci_dementia,0.025821242111072083,0.7732230879051485,-0.00033708754418144743,0.9970231865144323,127,64.5 (10.4),0.46
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",dx_cci_diab_no_mci_dementia,-0.048763082580393045,0.5968772770424955,-0.014672936376448694,0.8746926962720301,120,60.6 (10.4),0.53
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",dx_cci_chf_no_mci_dementia,-0.08295272396175546,0.4702722142042338,-0.10109235449289013,0.3848878077488487,78,65.4 (11.1),0.5
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",dx_cci_pvd_no_mci_dementia,-0.04451232153326665,0.6822599212972537,0.04186809073259829,0.7036067341480303,87,64.7 (10.9),0.47
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",dx_cci_cevd_no_mci_dementia,0.09581049286133378,0.26718254711300654,0.07327728618853602,0.4001065396395217,136,63.1 (10.8),0.52
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",dx_strata_cci<2,0.08367468594249441,0.19643283788662416,0.04711415500246967,0.4694237755892292,240,56.9 (11.9),0.55
